[W1017 23:07:49.379333385 NNPACK.cpp:61] Could not initialize NNPACK! Reason: Unsupported hardware.
Training standard bot...
Generation 608/1000, Best Fitness: -0.9656
Generation 609/1000, Best Fitness: -0.9656
Generation 610/1000, Best Fitness: -0.9656
Generation 611/1000, Best Fitness: -0.9656
Generation 612/1000, Best Fitness: -0.9656
Generation 613/1000, Best Fitness: -0.9656
Generation 614/1000, Best Fitness: -0.9656
Generation 615/1000, Best Fitness: -0.9656
Generation 616/1000, Best Fitness: -0.9656
Generation 617/1000, Best Fitness: -0.9656
Generation 618/1000, Best Fitness: -0.9656
Generation 619/1000, Best Fitness: -0.9656
Generation 620/1000, Best Fitness: -0.9656
Generation 621/1000, Best Fitness: -0.9656
Generation 622/1000, Best Fitness: -0.9656
Generation 623/1000, Best Fitness: -0.9656
Generation 624/1000, Best Fitness: -0.9656
Generation 625/1000, Best Fitness: -0.9656
